user,tweets,labels,follows
borMor,"b""We're still told this poor man killed himself.  https://t.co/moBLh97zrc""",4,_samcorfield
borMor,b'@GArmy666 do you have a link for that?',4,_samcorfield
borMor,b'@armacdonald360 they do deserve a fair punishment.',1,_samcorfield
borMor,b'RT @CrazyWorld463_2: #Protest!! Watch on #Periscope: #AmysArmy #SpeakersCorner\xf0\x9f\x87\xac\xf0\x9f\x87\xa7#London - Chat!\xf0\x9f\x93\xa2\xf0\x9f\x92\xaa\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x99\x8f#HappyEaster #\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xe2\x9b\xaa\xef\xb8\x8f #Isl*micPrayer?!\xf0\x9f\xa4\x94\xe2\x80\xa6 h\xe2\x80\xa6',4,_samcorfield
borMor,"b""@Oldflier49A this story's been doing the rounds on the alternative media for a week already.""",0,_samcorfield
borMor,"b'RT @CountDankulaTV: This is the Twitter equivalent of ""I\'m telling on you!"" https://t.co/x9A8HbWDAm'",0,_samcorfield
borMor,b'Foreign aid directly used to preach jihad to children.\nhttps://t.co/FP2sTLafOs',0,_samcorfield
borMor,"b'Brave kids, their parents deserve jail.\nhttps://t.co/eNCrNkWKLN'",4,_samcorfield
borMor,"b'Family of Telford rape victim told they couldn\'t prosecute because 13 year old ""consented"".\nhttps://t.co/2kwv5Wt5CF'",0,_samcorfield
mindyK,b'I defy you to name a country in the history of the world greater than America. (Coming from a Brit) https://t.co/05mIO057ha',1,_samcorfield
mindyK,"b""If you laugh at this you're a terrible person. https://t.co/xhPtpqthqY""",2,_samcorfield
mindyK,"b""@BreitbartNews safe, obviously I'd rather sadiq Kahn filled the capital with sage, but its murder he's given us instead.""",4,_samcorfield
mindyK,b'Sadiq Kahn makes London less sage than New York for the first time since 1800! Well done Sadiq #recordbreaker  https://t.co/M7x8rZVc4f',4,_samcorfield
mindyK,"b'""Being murdered is part and parcel of living in a large city""  https://t.co/T6twXuZLO7'",4,_samcorfield
mindyK,"b'@Politikking @Brianthelion11 win or lose, if you start now you could could make a big difference.'",1,_samcorfield
mindyK,b'@Politikking @Brianthelion11 I hope you do. An honest concerted effort concentrated on a small community could really have a big effect.',1,_samcorfield
mindyK,b'Which of these do you wish was just an #AprilFoodsDay prank? RT to reach a greater sample. Other? Reply below...',1,_samcorfield
mindyK,"b""Blair was right about Iraq, and he's right about Brexit. *try saying that with a straight face* https://t.co/dY2fp3HvDk""",0,_samcorfield
mindyK,b'Nice to see a real contribution coming from the Labour Party. https://t.co/6Lc9Q7ToRT',0,_samcorfield
Tharry,b'Yes @AliDawow . Free speech means the freedom to say outrageous and controversial things. https://t.co/UplVaFRbyF',2,_samcorfield
Tharry,b'Only Grexit would free Greece from its prison.\n\nhttps://t.co/U5MNhhGPIP',3,_samcorfield
Tharry,b'Did you give your prisoners a fair trial before they were beheaded?\n\nhttps://t.co/nD47k6kXEc',2,_samcorfield
Tharry,"b'If you want to live in peace with the Israelis, stop trying to kill them. \n\nhttps://t.co/WPnL0IFVrl'",4,_samcorfield
Tharry,"b'Enjoying watching Labour becoming the Nasty Party. Of course in reality, they have been for a very long time.\n\nhttps://t.co/E2ZTvaYmIw'",1,_samcorfield
Tharry,b'Parallel standards for parallel societies. https://t.co/Dm8SXZOJE5',1,_samcorfield
Tharry,"b""@tezisold uber is an amplification of society's ills. The better the society, the less chance you'll be raped.""",1,_samcorfield
Tharry,"b'When you have a block vote like this, your community can get away with murder.  https://t.co/f2F5ktC96X'",1,_samcorfield
Tharry,b'Did you just misgender Eddie Izzard? https://t.co/xBapjwGHwc',4,_samcorfield
Tharry,b'@spencermay awesome picture!',4,_samcorfield
just_mark,b'What motivates the Swedish judiciary to make these kinds of decisions? https://t.co/Et5akMp0Lo',4,abitx2u
just_mark,b'\xc2\xa320m of taxpayers money spent on teaching kids that terrorists go to paradise when they die. https://t.co/O8Nfh4PMF6',0,abitx2u
just_mark,b'Didi (the Chinese uber) has none of these problems. Is uber the problem or is it the drivers? https://t.co/BNoK3onIQj',0,abitx2u
just_mark,b'Which of these do you wish was just an #AprilFoolsDay joke? RT for better results. Other? Reply below.',0,abitx2u
just_mark,"b""Last week the pope said there was no hell, now this. Have the world's clergy lost their faith? https://t.co/QHkBHsy8da""",0,abitx2u
