user,tweets,labels,follows
_samcorfield,b'RT @Nigel_Farage: Is anti-Semitism on the rise? #FarageOnLBC https://t.co/gddxRqz4jF',0,jasmi_D
_samcorfield,"b'RT @ForBritainParty: ""Islam is not British"".  That\'s it, in a nutshell.'",3,jasmi_D
_samcorfield,b'RT @williams_neil: @OpenBritain It\xe2\x80\x99s time for Mr. Rees-Mogg to take the reins. #MoggMentum #Brexit #HardBrexit #CommonWealthFreeTrade #CANZ\xe2\x80\xa6',1,jasmi_D
_samcorfield,b'RT @TomJ8899: @Jacob_Rees_Mogg Theresa May will destroy Brexit. \n\nShe never wanted it.\nShe never believed in it.\nShe never wants us to leav\xe2\x80\xa6',4,jasmi_D
_samcorfield,"b""RT @RedPillDanny3: @JimMFelton @48notwrong @TRobinsonNewEra is a UK hero and no matter how much you try to smear him with the 'edl' and 'co\xe2\x80\xa6""",0,jasmi_D
_samcorfield,"b'RT @RedPillDanny3: They banned me again, 3rd time lucky, RT and follow, never let them silence us! @_mickjack_  @_jackmick_ @richy_mcnally\xe2\x80\xa6'",4,jasmi_D
_samcorfield,"b""RT @Breaking911: BREAKING: Official: Ecuador cutting off WikiLeaks founder Julian Assange's communications outside London embassy - AP""",1,jasmi_D
_samcorfield,b'RT @longlongroad3: #iamtommy https://t.co/coRFOeKZ3x',3,jasmi_D
_samcorfield,b'RT @TheFastShow1: Chris the crafty Cockney; surveying the general area\n#TheFastShow https://t.co/74VBuRBeTV',4,jasmi_D
_samcorfield,b'RT @Saveusfromthis: Always eloquent! Charming behaviour but typifies the problem of trying to educate those less fortunate in the brain cel\xe2\x80\xa6',0,Gjoseph
_samcorfield,"b""@Steven_Woolfe Doesn't it come in a can in the esky on the beach for those that don't drink""",2,Gjoseph
_samcorfield,b'RT @CaolanRob: Tommy\xe2\x80\x99s official response to Twitter &amp; a big announcement will be live tonight at 8:30pm GMT on https://t.co/1QmwYemjTX',1,Gjoseph
_samcorfield,b'RT @pimpmytweeting: Many people on here are being told that @TRobinsonNewEra has either blocked them or that he\xe2\x80\x99s had his account suspended\xe2\x80\xa6',4,Gjoseph
_samcorfield,b'RT @MarkACollett: White farmers had their land seized &amp; were forced out of Zimbabwe. Now the government is begging for them to return as Zi\xe2\x80\xa6',4,Gjoseph
_samcorfield,"b'RT @Groomingwatch: Labour, the party of CHILD RAPE, utter filth ! https://t.co/vWy9a0XVCY'",0,Gjoseph
_samcorfield,b'RT @HalewoodMike: THEY ARE JUST THE WRONG SORT OF VICTIMS\n\nDoes any one else find this strange ? The parole board released the leader of th\xe2\x80\xa6',4,Gjoseph
_samcorfield,"b'RT @OTVDesk: Thought for today: If you do not hear all sides of a discussion, how can you make an informed decision. It becomes indoctrinat\xe2\x80\xa6'",4,Gjoseph
_samcorfield,"b'RT @BrittPettibone: Is there a legitimate reason @TRobinsonNewEra was suspended this time, or was he simply spreading \xe2\x80\x98undesirable\xe2\x80\x99 facts a\xe2\x80\xa6'",1,Gjoseph
_samcorfield,"b'RT @BrexiteerGB: Bertie Armstrong (SFF Chairman) - ""It would be a national humiliation if we didn\xe2\x80\x99t decide what is caught, where it\xe2\x80\x99s caugh\xe2\x80\xa6'",0,Gjoseph
_samcorfield,"b'RT @EUVoteLeave23rd: #Israel the Nation of the Righteous, We Love You! #BBC #LBC #SKY @Conservatives #TORY @ConHome @theresa_may #Conservat\xe2\x80\xa6'",1,damy
_samcorfield,b'RT @RobertRees_: @3112Mel @Deagonfly @Sue36650435 @oldbid45 @WestmonsterUK @jjasq I think so - not ideal - and remember that nothing is agr\xe2\x80\xa6',0,damy
_samcorfield,"b'RT @Gordonrennie6: This is more proof of corbyns fantasy world that no country could possibly afford,to do all he is promising we need to b\xe2\x80\xa6'",1,damy
_samcorfield,"b'RT @TRobinsonOnline: #TommyRobinson predicted this day was coming,now that it has pledge your support sign up to his website and what socia\xe2\x80\xa6'",4,damy
_samcorfield,b'RT @Para_glider69: Don\xe2\x80\x99t let the moronic idiot goad you Junie. https://t.co/fCD6VwyQw7',4,damy
